old_nodeid,capability,contract_ids,v2_nodeids,disposition,old_assertions
tests/test_testitems.py::test_input_groups_order_and_roles,真值表输入分组的顺序与控制位判定（引擎）,C-073,,保留·非GUI,"assert bases == [""d_bt_lp_linelocal_mode_ctrl"", ""d_bt_lp_bt_mode_sel_local"", ""d_bt_lp_bt_mode_sel"", ""d_bt_lp_iddq""]；assert gd[""d_bt_lp_linelocal_mode_ctrl""][""is_control""]；assert gd[""d_bt_lp_iddq""][""is_control""]；assert not gd[""d_bt_lp_bt_mode_sel""][""is_control""]；assert all(g[""width""] == 1 for g in groups)"
tests/test_testitems.py::test_input_groups_label_keeps_width,输入标签保留位宽、base 不带位宽（引擎）,C-074,,保留·非GUI,"assert by_base[""d_bt_lp_lna_agc_local""][""label""] == ""d_bt_lp_lna_agc_local[2:0]""；assert by_base[""d_bt_lp_lna_agc_line""][""label""] == ""d_bt_lp_lna_agc_line[2:0]""；assert by_base[""d_bt_lp_lna_line_sel""][""label""] == ""d_bt_lp_lna_line_sel""；assert by_base[""d_bt_lp_lna_agc_local""][""base""] == ""d_bt_lp_lna_agc_local"""
tests/test_testitems.py::test_input_groups_shared_base,同一物理信号占多字母只占一列（引擎）,C-073,,保留·非GUI,"assert [g[""base""] for g in groups] == [""d_bt_lp_en_refbuf_cfg""]；assert groups[0][""letters""] == [""A""]"
tests/test_testitems.py::test_make_vector_expected_autocompute,改输入 → auto_out 自动算（引擎）,C-080,,保留·非GUI,"assert vec.exp_value == 1 and not vec.is_negative；assert vec.assignments[""A""] == 1 and vec.assignments[""C""] == 1；assert vec.assignments[""B""] == 0 and vec.assignments[""J""] == 0；assert V.make_vector_from_base_values(node, bindings, groups, bv2, sig.out_width).exp_value == 0"
tests/test_testitems.py::test_make_vector_override_marks_negative,手填期望≠算出值 → 标负向（引擎）,C-100,,保留·非GUI,assert neg.is_negative and neg.neg_value == 0 and neg.exp_value == 1；assert neg.asserted_value == 0；assert not ok.is_negative
tests/test_testitems.py::test_vector_to_base_values_roundtrip,向量 ↔ base_values 往返不改期望（引擎）,C-132,,保留·非GUI,assert rt.exp_value == vec.exp_value；assert rt.assignments == vec.assignments
tests/test_testitems.py::test_base_value_clamped_to_width,编辑值按输入位宽裁剪（引擎）,C-082,,保留·非GUI,"assert gd[""d_bt_lp_lna_agc_local""][""width""] == 3；assert vec.exp_value == 7"
tests/test_testitems.py::test_vector_overrides_replaces_auto,编辑经 vector_overrides 进 build（引擎）,C-132,,保留·非GUI,"assert res[""summary""][""n_generated""] == 1；assert res[""summary""][""n_vectors""] == 1；assert ""==1'b1"" in text；assert ""`RF_WRITE(10'h2D,16'h3);"" in text；assert ""force `ENV_RF.d_bt_lp_iddq=16'h0;"" in text"
tests/test_testitems.py::test_vector_overrides_negative_to_sv,反例落到 .sv（自检式断言）（引擎）,C-104,,保留·非GUI,"assert ""==1'b0"" in text and ""!="" not in text；assert ""NEG-EXPECTED-FAIL"" in text and ""NEG-BROKEN"" in text；assert res[""blocks""][0][1][""n_negative""] == 1"
tests/test_testitems.py::test_overrides_only_affect_named_signal,有 override 的信号用 override，其余自动（引擎）,C-132,,保留·非GUI,"assert by_name[""d_logic_bt_lp_reserve""][1][""n_vectors""] == 1；assert by_name[""d_logic_bt_lp_lna_agc[2:0]""][1][""n_vectors""] > 1"
