id,area,capability,category,old_entry,backend_api,v2_location,test_ids,status,source,note
C-001,清单,浏览并选中 Excel 真表，选完即载入（不用再点一次加载）,保留,MW.on_browse,excel_model.load_workbook,,,待落点,清单§1; 清单§5-1; gui:on_browse,
C-002,清单,重新载入当前路径的 Excel（表改了不用重启）,保留,MW.on_load,excel_model.load_workbook,,,待落点,清单§1; 清单§5-1; gui:on_load,
C-003,清单,开工具时自动把上次那张表载进来,保留,gui.main + _load_last_excel/_save_last_excel,excel_model.load_workbook,,,待落点,gui:main; gui:_load_last_excel,文档没写代码里有：清单§5-1 写的是「记住上次路径但不自动加载」，实际 main() 会 on_load()
C-004,清单,命令行带一个 .xlsx 启动，直接载入这张表,保留,gui.main（sys.argv 首个存在的文件）,excel_model.load_workbook,,,待落点,gui:main,文档没写代码里有：同事发一张表过来，命令行直接开就能看，不用再走浏览；换入口时最容易漏掉
C-005,清单,表读不进来时弹一句人话报错，工具不退出,保留,MW.on_load（QMessageBox.critical「加载失败」）,excel_model.load_workbook,,,待落点,清单§3; gui:on_load,
C-006,清单,载完在状态栏报：信号总数、logic/mux 各几条、几条非 clean、tmm/regmap 字段数、Topout 要验几个,保留,MW.on_load（status.showMessage）,excel_model.load_workbook,,,待落点,gui:on_load,文档没写代码里有：工程师判断『这张表读全了没』的唯一依据——logic/mux 条数、非 clean 个数、字段数对不上就是表有问题
C-007,清单,单个信号解析炸了不连累整张表，那一行标『解析异常』并留住 error 全文,保留,MW.on_load / MW._reanalyze_all（逐信号 try）,generator.analyze_signal / generator.analyze_mux_group,,,待落点,gui:on_load; gui:_reanalyze_all,文档没写代码里有：211 个信号里坏 1 个不能让其余 210 个看不成；error 全文是排查这一个的唯一线索
C-008,清单,要验信号清单 10 列：勾选/反例/信号名/断言号/owner/分类/逻辑类型/状态/探针前缀/用例数,保留,SV._populate_table（TOPO_HEADERS）,topout.topout_view_models,,,待落点,方案§4.1; Design§10; 清单§1; gui:_populate_table,
C-009,清单,信号名列带位宽切片显示（如 d_bt_lp_lna_itrim[3:0]），查找仍按裸名,保留,SV._populate_table（m['disp']）,topout.topout_view_models,,,待落点,gui:_populate_table,文档没写代码里有：位宽是 IC 工程师认信号的一半信息：d_xxx 和 d_xxx[3:0] 是两种验法
C-010,清单,断言号列 + 悬停说明「仿真 log 报 assert_<号>_T<n> 时按它回查本信号」,保留,SV._populate_table（TOPO_AID tooltip）,topout.topout_view_models,,,待落点,方案§4.1; gui:_populate_table,
C-011,清单,owner 列,保留,SV._populate_table（TOPO_OWNER）,topout.topout_view_models,,,待落点,方案§4.1; Design§10,
C-012,清单,分类列（选路/logic · mux · 直连寄存器 · RO回读(跳过) · 未解析）,保留,SV._populate_table（TOPO_KIND_LABEL）,topout.topout_view_models,,,待落点,方案§4.1; 清单§1,
C-013,清单,逻辑类型列（展开后表达式形态 F0–F4），覆盖度按它派发,保留,SV._populate_table（TOPO_FORM / m['form_label']）,topout.topout_view_models,,,待落点,方案§4.1; 清单§1,
C-014,清单,状态列 4 档（✅可建 / ↷跳过(RO) / ✗未解析 / ✗error）带颜色,保留,SV._populate_table（TOPO_STATUS_LABEL/COLOR）,topout.topout_view_models,,,待落点,方案§4.1; 清单§1,
C-015,清单,有问题的信号状态列变橙、悬停列出全部问题原因,保留,SV._populate_table（m['issues'] tooltip）,topout.topout_view_models,,,待落点,审计B; gui:_populate_table,
C-016,清单,状态 8 档逐档解释（clean / wire兜底 / 未解析 / 解析错 / 规格冲突 / 输入缺前缀·跳过 / 输出裸名·已生成 / 字段太窄·假绿）,保留,MW._populate_table（STATUS_HELP，legacy 状态列 tooltip）,generator.analyze_signal,,,待落点,方案§4.1; Design§10; 审计B; 清单§6; gui:STATUS_HELP,
C-017,清单,探针前缀列：显示该信号断言探针配的层级前缀，蓝色=已配,保留,SV._populate_table（TOPO_PREFIX）,topout.topout_view_models,,,待落点,方案§4.1; 审计B,
C-018,清单,探针前缀列悬停给出探针网真名 + 断言完整路径（配了/没配两种文案）,保留,SV._populate_table（TOPO_PREFIX tooltip）,topout.topout_view_models,,,待落点,审计B; gui:_populate_table,
C-019,清单,探针前缀列标出『探针口=xxx (level_shift)』——探针网名经 level_shift 页自动解析，无需手配,保留,MW._prefix_cell,generator.probe_prefix_for,,,待落点,gui:_prefix_cell,文档没写代码里有：这是第三种前缀来源，与手配前缀、输入侧前缀并列
C-020,清单,探针前缀列标出输入侧命中：『<输入名>→<前缀>』——某根 force 输入的路径带前缀,保留,MW._prefix_cell（found_in=='prefixed-wire'）,resolver.Resolver,,,待落点,gui:_prefix_cell,文档没写代码里有：『前缀配了但配在输入侧还是输出侧』只能从这里看出来，配错了要到仿真才报错
C-021,清单,用例数列（本信号会产出几条测试）,保留,SV._populate_table（TOPO_NTEST）,topout.topout_view_models,,,待落点,方案§4.1; Design§10,
C-022,清单,逐信号勾选（决定哪些信号进导出/预览）,保留,SV._checked_names / SV._on_sig_item_changed,topout.render_topout_sv(only=),,,待落点,方案§4.1; Design§10,
C-023,清单,逐信号反例勾选（给该信号加 1 条故意填错的自检用例）,保留,SV._toggle_signal_negative,vectors.make_negative / vectors.add_negatives,,,待落点,方案§4.1; Design§10,
C-024,清单,按 owner 多选筛（勾多个=任一命中即显示；不勾=全部）,保留,SV._rebuild_owner_menu / SV._on_owner_toggled（_CheckableMenu）,topout.topout_view_models,,,待落点,方案§4.1; Design§10; 审计B,
C-025,清单,owner 下拉里『（无 owner）』单列一项并带条数,保留,MW._rebuild_owner_menu（NO_OWNER）,—,,,待落点,gui:_rebuild_owner_menu,文档没写代码里有：Excel owner 列留空的信号最容易没人认领；不单列出来就永远筛不到它们
C-026,清单,owner 按钮文字随已选个数变化，悬停列全部已选 owner,保留,MW._update_owner_btn_text,—,,,待落点,gui:_update_owner_btn_text,文档没写代码里有：多选筛之后『我现在筛的是谁』要一眼能确认，否则会把筛剩的一部分当全量导出
C-027,清单,换表后自动丢掉新表里已不存在的 owner 选项（不留死项、计数不虚高）,保留,SV._rebuild_owner_menu / MW._rebuild_owner_menu,—,,,待落点,gui:_rebuild_owner_menu,文档没写代码里有：不清就留死项、按钮计数虚高，用户以为筛到了、实际筛空
C-028,清单,按分类筛（下拉只列本表真有的分类）,保留,SV._rebuild_kind_combo / SV._apply_filter,topout.topout_view_models,,,待落点,方案§4.1; Design§10,
C-029,清单,按状态筛（全部 / 仅可建 / 仅有问题）,保留,SV._apply_filter（status_combo）,topout.topout_view_models,,,待落点,方案§4.1; Design§10; 审计B,
C-030,清单,正则搜索：同时匹配信号名、断言号、表达式、输入信号名,保留,SV._apply_filter（search）,topout.topout_view_models,,,待落点,方案§4.1; Design§10; 审计B,
C-031,清单,搜索/筛选后状态栏报『可见 N / 共 M』，并单独点出有几个是因为输入信号名命中才列出来的,保留,MW.apply_filter（n_by_input）,—,,,待落点,gui:apply_filter,文档没写代码里有：搜输入网名时『这一行为什么会出现』是关键反馈，否则看着像搜错了
C-032,清单,全选所有可见信号,保留,SV._check_all(True),—,,,待落点,方案§4.1; Design§10,
C-033,清单,清空全部勾选,保留,SV._check_all(False),—,,,待落点,方案§4.1; Design§10,
C-034,清单,把表里框选/Ctrl 多选的行一次勾上,保留,SV._check_selected / MW.on_check_selected_rows,—,,,待落点,方案§4.1; Design§10; 审计B,
C-035,清单,一键给一批信号各加 1 条反例（有勾选只作用勾选，否则作用于全部可见）,保留,SV._bulk_neg(True) / MW.on_all_signals_neg(True),vectors.add_negatives,,,待落点,方案§4.1; Design§10; 审计B,
C-036,清单,一键清除一批信号的反例；含自定义命名/手填错值的先弹确认,保留,SV._bulk_neg(False) / MW.on_all_signals_neg(False) + MW._confirm_lose_named,—,,,待落点,方案§4.1; 审计A; gui:_confirm_lose_named,
C-037,清单,点表头按列排序（211 行按 owner / 用例数 / 状态排）,保留,MW.table.setSortingEnabled(True)（legacy 独有）,—,,,待落点,方案§4.1; Design§10; 审计B; 审计Top10-7,
C-038,清单,范围切换：全链 / 只看 logic 页 / mux 页 / dft 页 / iddq 页（页本地、不跨页）,合并,MainWindow.main_tabs 的 4 个 _PageProvider 子视图,pageviews.page_view_models / pageviews.PAGES,,,待落点,方案§4.1; 方案§4.3; Design§5-H1; Design§10,主控裁决: 按 Design§5-H1 归清单范围筛选
C-039,清单,RTL 补充逻辑信号在清单里琥珀高亮 + ⚠[RTL补充] 标记 + 悬停给理由,保留,MW._populate_table（_is_supplement 分支）,generator._logic_with_overrides,,,待落点,方案§4.1; Design§10; 审计B; 审计次要,
C-040,清单,嵌套 mux 被自动折叠过的信号，状态格加 ⚙ 标记、悬停给折叠全文,保留,MW._populate_table（normalized_note）,excel_model（normalized_note）,,,待落点,gui:_populate_table,文档没写代码里有：工具替 designer 做了折叠 = 改了对规格的理解，必须让 designer 能复核
C-041,清单,开了『缺前缀强制生成』后，状态列如实写成『⚠缺前缀·已强制生成』而不是『跳过』,保留,MW._populate_table（include_risky 分支）,generator.GenOptions(include_risky=),,,待落点,gui:_populate_table,文档没写代码里有：开了这个逃生阀之后，这批信号到底进没进 .sv 是两种完全不同的后果
C-042,清单,本表没有该页时给空态提示而不是空白表,保留,SV.refresh + provider.empty_hint / SV._guard,pageviews.page_available,,,待落点,gui:empty_hint,文档没写代码里有：『这张表没有 mux 页』和『mux 页读失败』是两回事，空白表分不出来
C-043,清单,分析整表出错时在详情区写『分析失败（已捕获，未崩）』并留住原因，界面不崩,保留,SV.refresh（except 分支）,topout.topout_view_models,,,待落点,gui:refresh,文档没写代码里有：『绝不崩』护栏的落点：崩一次用户就丢掉本次全部未存盘的操作
C-044,清单,刷新清单后自动选中第一个可见行（直接就能看到内容）,保留,SV.refresh 末尾,—,,,待落点,gui:refresh,文档没写代码里有：载完就能看到内容；空详情页会让人以为表没载成
C-045,清单,清单默认可见列必须包含『状态』和『用例』（现在 1600px 宽时它们在横滚条后面）,保留,"SV._build（split.setSizes([440,760])）",—,,,待落点,Design§8-7; 清单§2; 清单§7; 方案§1,
C-046,清单,清单里直接看到表达式（不必逐个点开）,保留,MW._populate_table（COL_EXPR，legacy 独有）,—,,,待拍板(默认=可选列、默认隐藏),计划§5-4; 审计B,待拍板 #4：默认=可选列、默认隐藏。
C-047,清单,按 Excel type 列筛（如只看喂 dft 的那一批）,合并,MW.apply_filter（type_combo，legacy 独有）,—,,,待拍板(默认=并入正则搜索),计划§5-4; 审计B; 审计次要,待拍板 #4：默认=并入正则搜索。支持按 _to_dft 这类目的地后缀匹配
C-048,清单,只看 top_output=1 的信号,删除,MW.apply_filter（self.top_only）,—,,,待落点,方案§4.4; 方案§5-2; 用户2026-06-23; 清单§1,
C-049,清单,清单列头直接写 Excel 列字母 R / K / top / type,删除,gui.HEADERS（legacy 列头）,—,,,待落点,方案§4.4; 方案§5-2; 用户2026-06-23; 清单§6,
